"Refs","Value","Footprint","Qty","DNP"
"C1","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C2","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C3","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C4","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C5","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C6","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C7","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C8","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C9","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C10","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C11","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C12","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C13","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C14","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C15","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C16","2.2u","Capacitor_SMD:C_0603_1608Metric","1",""
"C17","2.2u","Capacitor_SMD:C_0603_1608Metric","1",""
"C18","2.2u","Capacitor_SMD:C_0603_1608Metric","1",""
"C19","2.2u","Capacitor_SMD:C_0603_1608Metric","1",""
"C20","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C21","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C22","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C23","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C24","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C25","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C27","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C28","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C29","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C32","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C33","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C34","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C35","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C36","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C37","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C38","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C39","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C40","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C41","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C42","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C43","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C44","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C45","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C46","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C47","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C48","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C49","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C50","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C51","4.7u","Capacitor_SMD:C_0603_1608Metric","1",""
"C52","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C53","2.2u","Capacitor_SMD:C_0603_1608Metric","1",""
"C54","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C55","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C56","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C57","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C58","2.2u","Capacitor_SMD:C_0603_1608Metric","1",""
"C59","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C60","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C61","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C62","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C63","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C64","CL1","Capacitor_SMD:C_0402_1005Metric","1",""
"C65","CL2","Capacitor_SMD:C_0402_1005Metric","1",""
"C66","CL1","Capacitor_SMD:C_0402_1005Metric","1",""
"C67","CL2","Capacitor_SMD:C_0402_1005Metric","1",""
"C68","10u","Capacitor_SMD:C_0603_1608Metric","1",""
"C69","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C70","10u","Capacitor_SMD:C_0603_1608Metric","1",""
"C75","2.2u","Capacitor_SMD:C_0603_1608Metric","1",""
"C76","2.2u","Capacitor_SMD:C_0603_1608Metric","1",""
"C77","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C78","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C79","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C80","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C81","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C82","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C83","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C84","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C85","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C86","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C87","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C88","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C89","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C90","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C91","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C92","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C93","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C94","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C95","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C96","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C97","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C98","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C99","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C100","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C101","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C102","220nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C103","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"D1","D_Schottky","SOD-123:SOD−123","1",""
"D2","D_Schottky","SOD-123:SOD−123","1",""
"J1","Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","1",""
"J2","Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","1",""
"J14","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J15","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J16","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J17","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J18","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J19","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J20","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J21","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J22","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J23","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J24","Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J25","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J26","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J27","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J28","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J81","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal","1",""
"J84","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal","1",""
"J99","USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","1",""
"J100","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","1",""
"J101","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","1",""
"J103","USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","1",""
"J104","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","1",""
"J105","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","1",""
"J201","Conn_02x20_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x20_P1.27mm_Vertical_SMD","1",""
"J202","Conn_02x20_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x20_P1.27mm_Vertical_SMD","1",""
"J203","Conn_02x20_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x20_P1.27mm_Vertical_SMD","1",""
"J204","Conn_02x20_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x20_P1.27mm_Vertical_SMD","1",""
"J205","Conn_02x20_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x20_P1.27mm_Vertical_SMD","1",""
"J206","Conn_02x20_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x20_P1.27mm_Vertical_SMD","1",""
"J207","Conn_02x20_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x20_P1.27mm_Vertical_SMD","1",""
"J208","Conn_02x20_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x20_P1.27mm_Vertical_SMD","1",""
"J301","Conn_02x04_Odd_Even","Connector_PinSocket_1.27mm:PinSocket_2x04_P1.27mm_Vertical","1",""
"J302","Conn_02x04_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x04_P1.27mm_Vertical","1",""
"J303","Conn_02x04_Odd_Even","Connector_PinSocket_1.27mm:PinSocket_2x04_P1.27mm_Vertical","1",""
"R84","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R85","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R109","0","Resistor_SMD:R_0402_1005Metric","1",""
"R110","0","Resistor_SMD:R_0402_1005Metric","1",""
"R111","0","Resistor_SMD:R_0402_1005Metric","1",""
"R112","0","Resistor_SMD:R_0402_1005Metric","1",""
"R113","24","Resistor_SMD:R_0402_1005Metric","1",""
"R114","24","Resistor_SMD:R_0402_1005Metric","1",""
"R115","24","Resistor_SMD:R_0402_1005Metric","1",""
"R116","24","Resistor_SMD:R_0402_1005Metric","1",""
"R117","R_EXT","Resistor_SMD:R_0402_1005Metric","1",""
"SW1","SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P-B","1",""
"SW2","SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P-B","1",""
"T1","750315371","750315371:750315371","1",""
"U1","LSM6DS3","LSM6DS3TR:Bosch_LGA-14_3x2.5mm_P0.5mm","1",""
"U2","REF2025","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1",""
"U6","LP5907","Package_TO_SOT_SMD:SOT-23-5","1",""
"U7","FXO-SM7_OSC-SMD7050_short","Oscillator:Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering","1",""
"U8","LP5907","Package_TO_SOT_SMD:SOT-23-5","1",""
"U15","ISO7341c-iso7341c","","1",""
"U16","ADUM1402BRWZ","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","1",""
"U17","ADuM3160","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","1",""
"U18","STM32H743ZITx","Package_QFP:LQFP-144_20x20mm_P0.5mm","1",""
"U19","SN6505B","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","1",""
"U21","473521001","473521001:473521001","1",""
"U22","LP5907","Package_TO_SOT_SMD:SOT-23-5","1",""
"U101","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U102","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U103","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U104","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U105","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U106","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U107","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U108","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U109","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U110","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U111","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U112","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U113","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U114","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U115","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"U116","ADS131M08IRSN","Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias","1",""
"Y1","32768Hz","Crystal:Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering","1",""
"Y2","16MHz","smd5032:Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm_HandSoldering","1",""
