Ref,Val,Package,PosX,PosY,Rot,Side
"C10","1u","C_0402_1005Metric",8.636000,20.828000,-90.000000,bottom
"C11","220nF","C_0402_1005Metric",3.048000,19.304000,180.000000,bottom
"C12","1u","C_0402_1005Metric",1.524000,20.828000,-90.000000,bottom
"C13","1u","C_0402_1005Metric",-1.524000,20.828000,-90.000000,bottom
"C14","220nF","C_0402_1005Metric",-7.112000,19.304000,180.000000,bottom
"C15","1u","C_0402_1005Metric",-8.636000,20.828000,-90.000000,bottom
"C27","1u","C_0402_1005Metric",-8.636000,-20.828000,90.000000,bottom
"C28","220nF","C_0402_1005Metric",-3.048000,-19.304000,0.000000,bottom
"C29","1u","C_0402_1005Metric",-1.524000,-20.828000,90.000000,bottom
"C32","1u","C_0402_1005Metric",1.524000,-20.828000,90.000000,bottom
"C33","220nF","C_0402_1005Metric",7.112000,-19.304000,0.000000,bottom
"C34","1u","C_0402_1005Metric",8.636000,-20.828000,90.000000,bottom
"C35","100n","C_0402_1005Metric",-9.525000,14.605000,-135.000000,bottom
"C36","100n","C_0402_1005Metric",-15.621000,24.257000,-45.000000,bottom
"C41","100n","C_0402_1005Metric",-8.839200,-14.655800,135.000000,bottom
"C42","100n","C_0402_1005Metric",-10.210800,-13.284200,-45.000000,bottom
"C43","100n","C_0402_1005Metric",-8.890000,-10.795000,-45.000000,bottom
"C44","100n","C_0402_1005Metric",-13.284200,-7.747000,-135.000000,bottom
"C45","100n","C_0402_1005Metric",-13.360400,-4.927600,45.000000,bottom
"C46","1u","C_0402_1005Metric",-12.700000,-5.638800,45.000000,bottom
"C47","100n","C_0402_1005Metric",-14.732000,-6.426200,-135.000000,bottom
"C48","1u","C_0402_1005Metric",-14.046200,-7.112000,-135.000000,bottom
"C49","100n","C_0402_1005Metric",-14.605000,6.985000,90.000000,bottom
"C50","100n","C_0402_1005Metric",-9.779000,9.398000,135.000000,bottom
"C51","4.7u","C_0603_1608Metric",-9.144000,10.541000,135.000000,bottom
"C52","100n","C_0402_1005Metric",-7.620000,11.430000,-45.000000,bottom
"C53","2.2u","C_0603_1608Metric",-6.350000,12.700000,135.000000,bottom
"C54","100n","C_0402_1005Metric",-5.080000,13.335000,135.000000,bottom
"C55","100n","C_0402_1005Metric",6.985000,12.065000,135.000000,bottom
"C56","100n","C_0402_1005Metric",11.430000,7.493000,135.000000,bottom
"C57","1u","C_0402_1005Metric",12.141200,8.204200,135.000000,bottom
"C58","2.2u","C_0603_1608Metric",13.498952,5.651119,45.000000,bottom
"C59","100n","C_0402_1005Metric",14.388970,4.762119,-135.000000,bottom
"C60","100n","C_0402_1005Metric",13.716000,-9.525000,45.000000,bottom
"C61","1u","C_0402_1005Metric",14.503400,-10.312400,45.000000,bottom
"C62","100n","C_0402_1005Metric",7.112000,-11.099800,0.000000,bottom
"C63","100n","C_0402_1005Metric",6.731000,-15.748000,-45.000000,bottom
"C69","100n","C_0402_1005Metric",8.890000,10.146028,-135.000000,bottom
"C70","10u","C_0603_1608Metric",10.160000,8.949410,-135.000000,bottom
"C75","2.2u","C_0603_1608Metric",12.649200,-11.607800,-135.000000,bottom
"C83","1u","C_0402_1005Metric",20.828000,-8.636000,180.000000,bottom
"C84","220nF","C_0402_1005Metric",19.304000,-3.048000,90.000000,bottom
"C85","1u","C_0402_1005Metric",20.828000,-1.524000,180.000000,bottom
"C86","1u","C_0402_1005Metric",20.828000,1.524000,180.000000,bottom
"C87","220nF","C_0402_1005Metric",19.304000,7.112000,90.000000,bottom
"C88","1u","C_0402_1005Metric",20.828000,8.636000,180.000000,bottom
"C95","1u","C_0402_1005Metric",-20.828000,8.636000,0.000000,bottom
"C96","220nF","C_0402_1005Metric",-19.304000,3.048000,-90.000000,bottom
"C97","1u","C_0402_1005Metric",-20.828000,1.524000,0.000000,bottom
"C98","1u","C_0402_1005Metric",-20.828000,-1.524000,0.000000,bottom
"C99","220nF","C_0402_1005Metric",-19.304000,-7.112000,-90.000000,bottom
"C100","1u","C_0402_1005Metric",-20.828000,-8.636000,0.000000,bottom
"D1","D_Schottky","D_SOD-123",9.525000,12.681256,135.000000,bottom
"D2","D_Schottky","D_SOD-123",12.700000,9.506256,-45.000000,bottom
"J99","USB_B_Micro","USB_Micro-B_Molex-105017-0001",-22.860000,-22.860000,135.000000,bottom
"J202","Conn_02x20_Odd_Even","PinHeader_2x20_P1.27mm_Vertical_SMD",0.000000,-30.480000,-90.000000,bottom
"J204","Conn_02x20_Odd_Even","PinHeader_2x20_P1.27mm_Vertical_SMD",-30.480000,0.000000,180.000000,bottom
"J206","Conn_02x20_Odd_Even","PinHeader_2x20_P1.27mm_Vertical_SMD",0.000000,30.480000,90.000000,bottom
"J208","Conn_02x20_Odd_Even","PinHeader_2x20_P1.27mm_Vertical_SMD",30.480000,0.000000,0.000000,bottom
"R85","4k7","R_0402_1005Metric",-10.414000,7.874000,45.000000,bottom
"R115","24","R_0402_1005Metric",-12.471400,-10.845800,-135.000000,bottom
"R116","24","R_0402_1005Metric",-13.766800,-9.652000,-135.000000,bottom
"T1","750315371","750315371",16.510000,16.510000,-135.000000,bottom
"U8","LP5907","SOT-23-5",10.210800,-10.210800,135.000000,bottom
"U15","ISO7341c","SOIC-16W_7.5x10.3mm_P1.27mm",-16.510000,16.510000,135.000000,bottom
"U17","ADuM3160","SOIC-16W_7.5x10.3mm_P1.27mm",-16.510000,-16.510000,45.000000,bottom
"U18","STM32H743ZITx","LQFP-144_20x20mm_P0.5mm",0.000000,0.000000,45.000000,bottom
"U19","SN6505B","SOT-23-6_Handsoldering",22.860000,22.841256,45.000000,bottom
"U21","473521001","473521001",18.365248,-18.367938,-135.000000,bottom
"U103","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",-5.080000,-22.860000,90.000000,bottom
"U104","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",5.080000,-22.860000,90.000000,bottom
"U107","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",-22.860000,5.080000,0.000000,bottom
"U108","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",-22.860000,-5.080000,0.000000,bottom
"U111","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",5.080000,22.860000,-90.000000,bottom
"U112","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",-5.080000,22.860000,-90.000000,bottom
"U115","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",22.860000,-5.080000,180.000000,bottom
"U116","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",22.860000,5.080000,180.000000,bottom
"C1","100n","C_0402_1005Metric",24.765000,-19.050000,45.000000,top
"C2","100n","C_0402_1005Metric",20.265476,-21.542938,45.000000,top
"C3","100n","C_0402_1005Metric",21.640800,-20.167600,-135.000000,top
"C4","1u","C_0402_1005Metric",8.636000,-20.828000,90.000000,top
"C5","220nF","C_0402_1005Metric",3.048000,-19.304000,180.000000,top
"C6","1u","C_0402_1005Metric",1.524000,-20.828000,90.000000,top
"C7","1u","C_0402_1005Metric",1.524000,20.828000,-90.000000,top
"C8","220nF","C_0402_1005Metric",7.112000,19.304000,0.000000,top
"C9","1u","C_0402_1005Metric",8.636000,20.828000,-90.000000,top
"C16","2.2u","C_0603_1608Metric",10.287000,14.020800,45.000000,top
"C17","2.2u","C_0603_1608Metric",8.890000,8.241028,135.000000,top
"C18","2.2u","C_0603_1608Metric",12.649200,-11.607800,-135.000000,top
"C19","2.2u","C_0603_1608Metric",6.858000,-7.848600,135.000000,top
"C20","100n","C_0402_1005Metric",-3.048000,17.272000,-90.000000,top
"C21","100n","C_0402_1005Metric",3.048000,15.748000,90.000000,top
"C22","1u","C_0402_1005Metric",-1.524000,-20.828000,90.000000,top
"C23","220nF","C_0402_1005Metric",-7.112000,-19.304000,180.000000,top
"C24","1u","C_0402_1005Metric",-8.636000,-20.828000,90.000000,top
"C25","100n","C_0402_1005Metric",3.048000,17.780000,-90.000000,top
"C37","100n","C_0402_1005Metric",-14.732000,9.525000,45.000000,top
"C38","100n","C_0402_1005Metric",-24.257000,15.621000,-45.000000,top
"C39","100n","C_0402_1005Metric",-22.225000,-20.955000,-135.000000,top
"C40","100n","C_0402_1005Metric",-20.955000,-22.225000,-135.000000,top
"C64","CL1","C_0402_1005Metric",-7.848600,-11.836400,-135.000000,top
"C65","CL2","C_0402_1005Metric",-8.610600,-11.099800,-135.000000,top
"C66","CL1","C_0402_1005Metric",-9.169400,-15.671800,45.000000,top
"C67","CL2","C_0402_1005Metric",-16.764000,-9.677400,135.000000,top
"C68","10u","C_0603_1608Metric",20.345400,20.396200,-45.000000,top
"C76","2.2u","C_0603_1608Metric",7.924800,-6.781800,135.000000,top
"C77","1u","C_0402_1005Metric",20.828000,8.636000,180.000000,top
"C78","220nF","C_0402_1005Metric",19.304000,3.048000,-90.000000,top
"C79","1u","C_0402_1005Metric",20.828000,1.524000,180.000000,top
"C80","1u","C_0402_1005Metric",20.828000,-1.524000,180.000000,top
"C81","220nF","C_0402_1005Metric",19.304000,-7.112000,-90.000000,top
"C82","1u","C_0402_1005Metric",20.828000,-8.636000,180.000000,top
"C89","1u","C_0402_1005Metric",-20.828000,-8.636000,0.000000,top
"C90","220nF","C_0402_1005Metric",-19.304000,-3.048000,90.000000,top
"C91","1u","C_0402_1005Metric",-20.828000,-1.524000,0.000000,top
"C92","1u","C_0402_1005Metric",-20.828000,1.524000,0.000000,top
"C93","220nF","C_0402_1005Metric",-19.304000,7.112000,90.000000,top
"C94","1u","C_0402_1005Metric",-20.828000,8.636000,0.000000,top
"C101","1u","C_0402_1005Metric",-8.636000,20.828000,-90.000000,top
"C102","220nF","C_0402_1005Metric",-3.048000,19.304000,0.000000,top
"C103","1u","C_0402_1005Metric",-1.524000,20.828000,-90.000000,top
"J1","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Horizontal",29.845000,-14.187898,-45.000000,top
"J2","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Horizontal",15.983949,-28.048949,-45.000000,top
"J81","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Horizontal",-21.063949,22.860000,135.000000,top
"J84","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Horizontal",-26.452102,17.471846,135.000000,top
"J100","Conn_01x02","PinHeader_2x01_P2.54mm_Horizontal",-17.888949,-26.143949,-135.000000,top
"J101","Conn_01x02","PinHeader_2x01_P2.54mm_Horizontal",-26.143949,-17.888949,-135.000000,top
"J103","USB_B_Micro","USB_Micro-B_Molex-105017-0001",22.860000,22.841256,135.000000,top
"J104","Conn_01x02","PinHeader_2x01_P2.54mm_Horizontal",17.888949,26.143949,45.000000,top
"J105","Conn_01x02","PinHeader_2x01_P2.54mm_Horizontal",26.143949,17.888949,45.000000,top
"J201","Conn_02x20_Odd_Even","PinHeader_2x20_P1.27mm_Vertical_SMD",0.000000,-30.480000,-90.000000,top
"J203","Conn_02x20_Odd_Even","PinHeader_2x20_P1.27mm_Vertical_SMD",-30.480000,0.000000,180.000000,top
"J205","Conn_02x20_Odd_Even","PinHeader_2x20_P1.27mm_Vertical_SMD",0.000000,30.480000,90.000000,top
"J207","Conn_02x20_Odd_Even","PinHeader_2x20_P1.27mm_Vertical_SMD",30.480000,0.000000,0.000000,top
"J301","Conn_02x04_Odd_Even","PinSocket_2x04_P1.27mm_Vertical",16.119000,-1.900000,180.000000,top
"J302","Conn_02x04_Odd_Even","PinHeader_2x04_P1.27mm_Vertical",-1.900000,-17.389000,90.000000,top
"J303","Conn_02x04_Odd_Even","PinSocket_2x04_P1.27mm_Vertical",-16.119000,1.900000,0.000000,top
"R84","4k7","R_0402_1005Metric",19.050000,-24.765000,45.000000,top
"R109","0","R_0402_1005Metric",0.000000,-6.096000,180.000000,top
"R110","0","R_0402_1005Metric",12.192000,-7.620000,-90.000000,top
"R112","0","R_0402_1005Metric",-4.064000,0.000000,-90.000000,top
"R113","24","R_0402_1005Metric",-22.860000,-24.765000,45.000000,top
"R114","24","R_0402_1005Metric",-24.765000,-22.860000,45.000000,top
"R117","R_EXT","R_0402_1005Metric",-11.811000,-8.509000,135.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P-B",20.955000,-26.670000,-135.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P-B",26.670000,-20.955000,45.000000,top
"U1","LSM6DS3","Bosch_LGA-14_3x2.5mm_P0.5mm",18.995476,-19.002938,45.000000,top
"U2","REF2025","SOT-23-5_HandSoldering",0.000000,16.764000,0.000000,top
"U6","LP5907","SOT-23-5",10.795000,10.781028,-135.000000,top
"U7","FXO-SM7_OSC-SMD7050_short","Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering",0.000000,0.000000,90.000000,top
"U16","ADUM1402BRWZ","SOIC-16W_7.5x10.3mm_P1.27mm",-16.510000,16.510000,135.000000,top
"U22","LP5907","SOT-23-5",10.210800,-10.210800,135.000000,top
"U101","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",5.080000,-22.860000,90.000000,top
"U102","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",-5.080000,-22.860000,90.000000,top
"U105","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",-22.860000,-5.080000,0.000000,top
"U106","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",-22.860000,5.080000,0.000000,top
"U109","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",-5.080000,22.860000,-90.000000,top
"U110","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",5.080000,22.860000,-90.000000,top
"U113","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",22.860000,5.080000,180.000000,top
"U114","ADS131M08IRSN","QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias",22.860000,-5.080000,180.000000,top
"Y1","32768Hz","Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering",-8.489649,-8.540449,-135.000000,top
"Y2","16MHz","Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm_HandSoldering",-12.319000,-12.319000,135.000000,top
